[32mINFO   [0m      StepLogger:  → QEMUNetworkStrategy.transition(state='shell') 
[32mINFO   [0m      StepLogger:  ↓ QEMUNetworkStrategy.transition() skipped=nothing to do
[32mINFO   [0m      StepLogger:  ← QEMUNetworkStrategy.transition()
[32mINFO   [0m      StepLogger:  → ShellDriver.run(cmd='logread') 
CONSOLE SerialLogger.ma:   QemuDriver(main) > echo 'TMFW''AYBCPC'␤␍␤
[32mINFO   [0m      StepLogger:   → QEMUDriver.expect(pattern='TMFWAYBCPC\\s+root@[\\w()]+:[^ ]+ ') 
CONSOLE SerialLogger.ma:    QemuDriver(main) < echo 'TMFW''AYBCPC'␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < TMFWAYBCPC␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < root@OpenWrt:~# ␍␤
[32mINFO   [0m      StepLogger:   ← QEMUDriver.expect() result=(0, b"echo 'TMFW''AYBCPC'\r\n", <re.Match object; span=(21, 49), match=b'TMFWAYBCPC\r\nroot@OpenWrt:… [0.013s]
CONSOLE SerialLogger.ma:   QemuDriver(main) > MARKER='KVAJ''QPEWCT' run logread␤␍␤
[32mINFO   [0m      StepLogger:   → QEMUDriver.expect(pattern='KVAJQPEWCT(.*)KVAJQPEWCT\\s+(\\d+)\\s+root@[\\w()]+:[^ ]+ ') 
CONSOLE SerialLogger.ma:    QemuDriver(main) < MARKER='KVAJ''QPEWCT' run logread␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.505736] pci_bus 0000:00: root bus resource [mem 0x10000000-0x3efeffff]␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.514812] pci_bus 0000:00: root bus resource [mem 0x8000000000-0xffffffffff]␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.516770] pci 0000:00:00.0: [1b36:0008] type 00 class 0x060000␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.519838] pci 0000:00:01.0: [1af4:1000] type 00 class 0x020000␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.520269] pci 0000:00:01.0: reg 0x10: [io  0x0000-0x001f]␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.520543] pci 0000:00:01.0: reg 0x20: [mem 0x00000000-0x00003fff 64bit pref]␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.526110] pci 0000:00:01.0: reg 0x30: [mem 0x00000000-0x0007ffff pref]␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.526889] pci 0000:00:02.0: [1af4:1005] type 00 class 0x00ff00␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.527108] pci 0000:00:02.0: reg 0x10: [io  0x0000-0x001f]␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.527290] pci 0000:00:02.0: reg 0x14: [mem 0x00000000-0x00000fff]␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.537028] pci 0000:00:02.0: reg 0x20: [mem 0x00000000-0x00003fff 64bit pref]␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.537849] pci 0000:00:03.0: [1af4:1000] type 00 class 0x020000␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.538059] pci 0000:00:03.0: reg 0x10: [io  0x0000-0x001f]␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.538238] pci 0000:00:03.0: reg 0x14: [mem 0x00000000-0x00000fff]␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.548092] pci 0000:00:03.0: reg 0x20: [mem 0x00000000-0x00003fff 64bit pref]␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.548437] pci 0000:00:03.0: reg 0x30: [mem 0x00000000-0x0007ffff pref]␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.550592] pci 0000:00:01.0: BAR 6: assigned [mem 0x10000000-0x1007ffff pref]␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.550985] pci 0000:00:03.0: BAR 6: assigned [mem 0x10080000-0x100fffff pref]␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.559297] pci 0000:00:01.0: BAR 4: assigned [mem 0x8000000000-0x8000003fff 64bit pref]␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.559806] pci 0000:00:02.0: BAR 4: assigned [mem 0x8000004000-0x8000007fff 64bit pref]␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.560102] pci 0000:00:03.0: BAR 4: assigned [mem 0x8000008000-0x800000bfff 64bit pref]␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.569989] pci 0000:00:02.0: BAR 1: assigned [mem 0x10100000-0x10100fff]␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.570314] pci 0000:00:03.0: BAR 1: assigned [mem 0x10101000-0x10101fff]␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.570550] pci 0000:00:01.0: BAR 0: assigned [io  0x1000-0x101f]␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.570797] pci 0000:00:02.0: BAR 0: assigned [io  0x1020-0x103f]␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.580833] pci 0000:00:03.0: BAR 0: assigned [io  0x1040-0x105f]␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.584157] hv_vmbus: registering driver hyperv_fb␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.639183] EINJ: ACPI disabled.␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.663536] virtio-pci 0000:00:01.0: enabling device (0000 -> 0003)␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.666902] virtio-pci 0000:00:02.0: enabling device (0000 -> 0003)␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.668263] virtio-pci 0000:00:03.0: enabling device (0000 -> 0003)␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.670793] Serial: 8250/16550 driver, 16 ports, IRQ sharing enabled␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.679585] SuperH (H)SCI(F) driver initialized␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.839026] loop: module loaded␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.840239] hv_vmbus: registering driver hv_storvsc␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.859128] hv_vmbus: registering driver hv_netvsc␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.861966] usbcore: registered new interface driver usb-storage␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.863781] hv_vmbus: registering driver hyperv_keyboard␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.866645] rtc-pl031 9010000.pl031: registered as rtc0␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.867293] rtc-pl031 9010000.pl031: setting system clock to 2025-06-25T22:15:34 UTC (1750889734)␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.873260] sdhci: Secure Digital Host Controller Interface driver␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.873459] sdhci: Copyright(c) Pierre Ossman␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.874108] Synopsys Designware Multimedia Card Interface Driver␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.874887] sdhci-pltfm: SDHCI platform and OF driver helper␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.877382] hid: raw HID events driver (C) Jiri Kosina␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.881343] usbcore: registered new interface driver usbhid␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.881597] usbhid: USB HID core driver␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.884340] NET: Registered PF_INET6 protocol family␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.943937] Segment Routing with IPv6␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.944320] In-situ OAM (IOAM) with IPv6␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.944988] NET: Registered PF_PACKET protocol family␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.945823] bridge: filtering via arp/ip/ip6tables is no longer available by default. Update your scripts to load br_netfilter if you need this.␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.955726] 8021q: 802.1Q VLAN Support v1.8␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.956577] 9pnet: Installing 9P2000 support␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    1.096251] clk: Disabling unused clocks␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    1.101709] uart-pl011 9000000.pl011: no DMA platform data␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    1.138995] Freeing unused kernel memory: 20160K␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    1.140789] Run /init as init process␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.debug kernel: [    1.140969]   with arguments:␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.debug kernel: [    1.140989]     /init␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.debug kernel: [    1.141005]   with environment:␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.debug kernel: [    1.141019]     HOME=/␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.debug kernel: [    1.141033]     TERM=linux␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 user.info kernel: [    3.174188] init: Console is alive␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 user.info kernel: [    3.280107] kmodloader: loading kernel modules from /etc/modules-boot.d/*␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    3.312116] pps_core: LinuxPPS API ver. 1 registered␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    3.312338] pps_core: Software ver. 5.3.6 - Copyright 2005-2007 Rodolfo Giometti <giometti@linux.it>␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    3.367474] PTP clock support registered␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 user.info kernel: [    3.390404] kmodloader: done loading kernel modules from /etc/modules-boot.d/*␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 user.info kernel: [    3.399538] init: - preinit -␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    5.259416] 8021q: adding VLAN 0 to HW filter on device eth0␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 user.info kernel: [   10.316747] procd: - early -␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 user.info kernel: [   11.530340] procd: - ubus -␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 user.info kernel: [   11.740507] procd: - init -␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 user.info kernel: [   14.469182] urngd: v1.0.2 started.␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 user.info kernel: [   15.720946] kmodloader: loading kernel modules from /etc/modules.d/*␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [   17.002273] MACsec IEEE 802.1AE␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [   17.152580] VMware vmxnet3 virtual NIC driver - version 1.7.0.0-k-NAPI␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [   17.191709] rvu_af: Marvell OcteonTX2 RVU Admin Function Driver␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [   17.209489] rvu_nicpf: Marvell RVU NIC Physical Function Driver␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [   17.212617] rvu_nicvf: Marvell RVU NIC Virtual Function Driver␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [   17.241074] thunder_xcv, ver 1.0␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [   17.248351] thunder_bgx, ver 1.0␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [   17.251715] nicpf, ver 1.0␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [   17.259624] nicvf, ver 1.0␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [   17.290964] i2c_dev: i2c /dev entries driver␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [   17.348700] e1000e: Intel(R) PRO/1000 Network Driver␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [   17.348745] e1000e: Copyright(c) 1999 - 2015 Intel Corporation.␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [   17.558351] PPP generic driver version 2.4.2␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [   17.562159] NET: Registered PF_PPPOX protocol family␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 user.info kernel: [   17.584209] kmodloader: done loading kernel modules from /etc/modules.d/*␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:59 2025 user.notice dnsmasq: DNS rebinding protection is active, will discard upstream RFC1918 responses!␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:59 2025 user.notice dnsmasq: Allowing 127.0.0.0/8 responses␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:01 2025 daemon.info dnsmasq[1]: started, version 2.91 cachesize 1000␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:01 2025 daemon.info dnsmasq[1]: DNS service limited to local subnets␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:01 2025 daemon.info dnsmasq[1]: compile time options: IPv6 GNU-getopt no-DBus UBus no-i18n no-IDN DHCP no-DHCPv6 no-Lua TFTP no-conntrack no-ipset no-nftset no-auth no-DNSSEC no-ID loop-detect inotify dumpfile␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:01 2025 daemon.info dnsmasq[1]: UBus support enabled: connected to system bus␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:01 2025 daemon.info dnsmasq[1]: using only locally-known addresses for test␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:01 2025 daemon.info dnsmasq[1]: using only locally-known addresses for onion␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:01 2025 daemon.info dnsmasq[1]: using only locally-known addresses for localhost␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:01 2025 daemon.info dnsmasq[1]: using only locally-known addresses for local␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:01 2025 daemon.info dnsmasq[1]: using only locally-known addresses for invalid␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:01 2025 daemon.info dnsmasq[1]: using only locally-known addresses for bind␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:01 2025 daemon.info dnsmasq[1]: using only locally-known addresses for lan␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:01 2025 daemon.warn dnsmasq[1]: no servers found in /tmp/resolv.conf.d/resolv.conf.auto, will retry␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:01 2025 daemon.info dnsmasq[1]: read /etc/hosts - 12 names␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:01 2025 daemon.info dnsmasq[1]: read /tmp/hosts/dhcp.cfg01411c - 0 names␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:05 2025 authpriv.info dropbear[1857]: Not backgrounding␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:09 2025 user.notice : Added device handler type: vrf␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:09 2025 user.notice : Added device handler type: bonding␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:09 2025 user.notice : Added device handler type: 8021ad␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:09 2025 user.notice : Added device handler type: 8021q␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:09 2025 user.notice : Added device handler type: macvlan␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:09 2025 user.notice : Added device handler type: veth␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:09 2025 user.notice : Added device handler type: bridge␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:09 2025 user.notice : Added device handler type: Network device␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:09 2025 user.notice : Added device handler type: tunnel␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:15 2025 kern.info kernel: [   42.559493] 8021q: adding VLAN 0 to HW filter on device eth0␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:15 2025 kern.info kernel: [   42.564426] br-lan: port 1(eth0) entered blocking state␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:15 2025 kern.info kernel: [   42.564537] br-lan: port 1(eth0) entered disabled state␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:15 2025 kern.info kernel: [   42.564988] virtio_net virtio0 eth0: entered allmulticast mode␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:15 2025 kern.info kernel: [   42.567229] virtio_net virtio0 eth0: entered promiscuous mode␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:15 2025 kern.info kernel: [   42.666426] br-lan: port 1(eth0) entered blocking state␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:15 2025 kern.info kernel: [   42.666544] br-lan: port 1(eth0) entered forwarding state␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:15 2025 daemon.notice netifd: Interface 'lan' is enabled␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:15 2025 daemon.notice netifd: Interface 'lan' is setting up now␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:15 2025 daemon.notice netifd: Interface 'lan' is now up␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:15 2025 daemon.notice netifd: bridge 'br-lan' link is up␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:15 2025 daemon.notice netifd: Interface 'lan' has link connectivity␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:15 2025 daemon.notice netifd: Interface 'loopback' is enabled␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:15 2025 daemon.notice netifd: Interface 'loopback' is setting up now␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:15 2025 daemon.notice netifd: Interface 'loopback' is now up␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:15 2025 kern.info kernel: [   43.002482] 8021q: adding VLAN 0 to HW filter on device eth1␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:15 2025 daemon.notice netifd: Interface 'wan' is enabled␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:15 2025 daemon.notice netifd: Interface 'wan6' is enabled␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:16 2025 daemon.notice netifd: bridge 'br-lan' link is down␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:16 2025 daemon.notice netifd: Interface 'lan' has link connectivity loss␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:16 2025 daemon.notice netifd: Network device 'eth0' link is up␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:16 2025 daemon.notice netifd: bridge 'br-lan' link is up␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:16 2025 daemon.notice netifd: Interface 'lan' has link connectivity␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:16 2025 daemon.notice netifd: Network device 'lo' link is up␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:16 2025 daemon.notice netifd: Interface 'loopback' has link connectivity␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:16 2025 daemon.notice netifd: Network device 'eth1' link is up␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:16 2025 daemon.notice netifd: Interface 'wan' has link connectivity␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:16 2025 daemon.notice netifd: Interface 'wan' is setting up now␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:16 2025 daemon.notice netifd: Interface 'wan6' has link connectivity␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:16 2025 daemon.notice netifd: Interface 'wan6' is setting up now␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:18 2025 daemon.notice netifd: wan (2284): udhcpc: started, v1.37.0␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:19 2025 daemon.notice netifd: wan (2284): udhcpc: broadcasting discover␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:19 2025 daemon.notice netifd: wan (2284): udhcpc: broadcasting select for 10.0.2.15, server 10.0.2.2␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:19 2025 daemon.notice netifd: wan (2284): udhcpc: lease of 10.0.2.15 obtained from 10.0.2.2, lease time 86400␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:21 2025 daemon.notice netifd: Interface 'wan' is now up␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:21 2025 daemon.info dnsmasq[1]: reading /tmp/resolv.conf.d/resolv.conf.auto␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:21 2025 daemon.info dnsmasq[1]: using nameserver 10.0.2.3#53␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:21 2025 daemon.info dnsmasq[1]: using only locally-known addresses for test␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:21 2025 daemon.info dnsmasq[1]: using only locally-known addresses for onion␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:16:21 2025 daemon.info dnsmasq[1]: using only locally-known addresses for localhost␍␤
